DB00650,DB00526,D018297
DB00480,DB01234,D020141
DB09331,DB00635,D007938
DB01234,DB09570,D006474
DB00541,DB00635,D014777
DB00515,DB00997,D005185
DB00441,DB11945,D014565
DB01211,DB08910,D009101
DB01206,DB11942,D017599
DB06151,DB13281,D012140
DB00997,DB00541,D054685
DB15471,DB09073,D012871
DB08896,DB00531,D004067
DB00987,DB12008,D007938
DB09035,DB12520,D009369
DB07232,DB00531,D004700
DB08889,DB09570,D002318
DB00899,DB01221,D003324
DB00650,DB00526,D002429
DB00480,DB00959,D007160
DB00773,DB00437,D020141
DB00541,DB01181,D008223
DB00455,DB00927,D057765
DB00081,DB00987,D008232
DB01075,DB00433,D007160
DB16322,DB11581,D009369
DB06186,DB09033,D008545
DB01073,DB00959,D015470
DB08935,DB06769,D008223
DB00072,DB05578,D004066
DB00958,DB00927,D013274
DB00741,DB00316,D016403
DB00601,DB01045,D020306
DB01075,DB00773,D008228
DB00002,DB15140,D006258
DB11866,DB00630,D010243
DB04572,DB00099,D007160
DB06788,DB06825,D009371
DB00112,DB11942,D008113
DB11823,DB01221,D061218
DB01042,DB00958,D008206
DB08816,DB09030,D006331
DB05136,DB09037,D002294
DB01229,DB12015,D004067
DB00518,DB11431,D017189
DB11595,DB01229,D005184
DB00526,DB00112,D006402
DB00112,DB11771,D002277
DB15568,DB09037,D009362
DB11581,DB00073,D015448
DB15102,DB09037,D009369
DB00339,DB01045,D014376
DB01590,DB12369,D008206
DB12332,DB05578,D009369
DB06603,DB11762,D015192
DB00982,DB01202,D009375
DB00541,DB00059,D009369
DB00531,DB00480,D020141
DB00795,DB11767,D007154
DB08889,DB01075,D001796
DB00104,DB00030,D044882
DB01225,DB00758,D000086382
DB11873,DB00091,D007674
DB00073,DB00291,D015451
DB00987,DB12325,D015470
DB01018,DB00281,D003389
DB01101,DB05944,D004067
DB11595,DB12001,D011469
DB11595,DB00526,D016403
DB09146,DB00016,D019189
DB09037,DB15286,D009369
DB00741,DB00262,D007160
DB00853,DB01101,D009380
DB00773,DB00437,D014652
DB00099,DB11919,D005910
DB00531,DB00544,D007410
DB00531,DB01075,D003240
DB02546,DB00188,D014652
DB09312,DB00563,D007938
DB00987,DB01073,D007951
DB00928,DB09037,D017599
DB00531,DB00441,D008223
DB00041,DB09037,D004701
DB01073,DB00188,D006474
DB01175,DB01104,D019967
DB01076,DB00945,D003141
DB06228,DB00945,D001161
DB00864,DB00688,D007154
DB09539,DB01101,D015179
DB09570,DB00541,D054198
DB01229,DB00762,D009370
DB00635,DB01033,D009370
DB11581,DB00773,D009371
DB11697,DB01262,D009196
DB00441,DB00019,D009370
DB00813,DB00297,D009461
DB08886,DB00352,D007945
DB06825,DB00014,D011471
DB09570,DB01073,D007154
DB01128,DB12001,D001941
DB01225,DB00441,D010182
DB00694,DB00563,D007938
DB00019,DB09110,D007154
DB00947,DB01217,D012871
DB01128,DB05812,D011471
DB06612,DB00860,D008206
DB12827,DB09053,D018302
DB01060,DB00448,D007239
DB11730,DB01128,D012871
DB00515,DB01206,D009375
DB14811,DB00188,D014652
DB00987,DB00997,D007938
DB00650,DB00762,D000291
DB01610,DB09037,D007890
DB00619,DB06616,D002869
DB01098,DB01076,D008659
DB01611,DB08911,D001650
DB00480,DB14989,D015451
DB11581,DB12340,D007160
DB01611,DB11817,D012466
DB00188,DB00531,D007160
DB00087,DB00864,D008206
DB00526,DB00650,D001254
DB00531,DB00073,D020274
DB04572,DB00864,D015456
DB00602,DB00331,D000086382
DB09078,DB00773,D012516
DB01234,DB14844,D008232
DB00544,DB08896,D005767
DB11828,DB06287,D009369
DB00188,DB09331,D010335
DB00099,DB00959,D001327
DB00112,DB01229,D018204
DB00254,DB09322,D003333
DB11613,DB08934,D006506
DB01041,DB01042,D006402
DB00650,DB00541,D009369
DB00997,DB01042,D018242
DB00331,DB05294,D002292
DB00877,DB00531,D004700
DB00531,DB09110,D000743
DB00997,DB00541,D014652
DB15434,DB00480,D007160
DB00112,DB00958,D004935
DB00480,DB09110,D008232
DB09331,DB09570,D014652
DB04572,DB01075,D006086
DB05578,DB00544,D006258
DB00480,DB00515,D002318
DB08910,DB00188,D009369
DB00678,DB00514,D014456
DB11942,DB00480,D016393
DB01233,DB00104,D007415
DB11760,DB15140,D009369
DB01128,DB06825,D009370
DB00454,DB01042,D006453
DB01097,DB12160,D007592
DB09073,DB06366,D001941
DB00853,DB01206,D009375
DB00633,DB00296,D003693
DB05812,DB11595,D011469
DB01042,DB00959,D011289
DB01234,DB06769,D054219
DB01008,DB00959,D008206
DB11967,DB12978,D005767
DB09053,DB00072,D012871
DB14726,DB09075,D054556
DB01073,DB00091,D002318
DB00773,DB00688,D007160
DB08889,DB01075,D009101
DB01075,DB00741,D007154
DB01073,DB04572,D007945
DB00515,DB00947,D012140
DB11841,DB06186,D007674
DB01041,DB01042,D001796
DB11526,DB01248,D014565
DB00099,DB11919,D009375
DB00650,DB01101,D010190
DB00958,DB09110,D004701
DB05239,DB09035,D004067
DB01073,DB00073,D009369
DB08816,DB09030,D002318
DB01229,DB00958,D012002
DB08930,DB00503,D015658
DB05239,DB11595,D004700
DB00650,DB00112,D042822
DB00541,DB11952,D016411
DB00515,DB09499,D018301
DB01248,DB01229,D001661
DB00997,DB00541,D000069293
DB00526,DB14922,D009371
DB01234,DB00635,D008232
DB11581,DB12141,D015470
DB00688,DB00531,D007938
DB09035,DB15082,D009371
DB02546,DB00958,D009370
DB00635,DB00091,D019337
DB09037,DB00073,D008206
DB06366,DB11986,D009369
DB00072,DB08828,D009362
DB06317,DB09035,D002318
DB01024,DB00993,D001327
DB00741,DB00316,D016393
DB00958,DB00851,D009369
DB00465,DB00633,D010038
DB09143,DB11730,D009837
DB01234,DB09053,D054219
DB00541,DB01042,D009380
DB00316,DB00433,D001796
DB01280,DB00531,D008206
DB11714,DB11925,D001984
DB08875,DB00642,D008654
DB00711,DB00518,D000079426
DB05220,DB01229,D001943
DB00741,DB00563,D007945
DB00758,DB08816,D003327
DB00370,DB01577,D018376
DB00531,DB00959,D009422
DB01041,DB01042,D020141
DB06366,DB00072,D009371
DB01177,DB11832,D007951
DB01236,DB00433,D009325
DB05109,DB11581,D007945
DB00482,DB00497,D007592
DB00316,DB01050,D012852
DB09035,DB06186,D008206
DB09110,DB01073,D003424
DB11986,DB01229,D009382
DB00091,DB00688,D010198
DB00007,DB06788,D000230
DB00339,DB00601,D016920
DB11714,DB11771,D014594
DB00087,DB01042,D009217
DB01041,DB00635,D054219
DB00441,DB01248,D009371
DB00030,DB00331,D004700
DB09053,DB15211,D008224
DB01221,DB00996,D059350
DB00515,DB01206,D064419
DB00281,DB00540,D004679
DB09033,DB00531,D003424
